ID,AVG,MAX,MIN
aagfhgtpmv,0.5612989296515782,0.6300603151321411,0.451022744178772
aapnvogymq,0.5951013853152592,0.629052460193634,0.5358491539955139
abarnvbtwb,0.5507170964371074,0.5701131820678711,0.5039549469947815
abofeumbvv,0.4783614563941956,0.5235693454742432,0.43594419956207275
abqwwspghj,0.5359673534830411,0.5872372388839722,0.48329657316207886
acifjvzvpm,0.5499934077262878,0.5717195868492126,0.5264161825180054
acqfdwsrhi,0.4717703436811765,0.5239344239234924,0.43854188919067383
acxnxvbsxk,0.5308746054768563,0.5738939642906189,0.4879749119281769
acxwigylke,0.5432386269172033,0.5848634243011475,0.5038784146308899
aczrgyricp,0.5680061370134354,0.6005176901817322,0.5306872129440308
adhsbajydo,0.4783882533510526,0.5089790225028992,0.4400804340839386
adohikbdaz,0.5258714129339974,0.5967461466789246,0.42234060168266296
adylbeequz,0.5553422689437866,0.595900297164917,0.5073438286781311
aelfnikyqj,0.5758131672938664,0.6059818267822266,0.5493518114089966
aelzhcnwgf,0.5378497888644537,0.5756749510765076,0.5005150437355042
aettqgevhz,0.5270305573940277,0.5371721386909485,0.5168889760971069
aevrfsexku,0.5529747914809447,0.6008062362670898,0.49207815527915955
afoovlsmtx,0.5003251587351163,0.5324940085411072,0.46806204319000244
agdkmztvby,0.5202159066994985,0.5717126131057739,0.45956698060035706
agqphdxmwt,0.5291479667027791,0.5597308278083801,0.4964485168457031
agrmhtjdlk,0.5479111050566038,0.6191578507423401,0.46315765380859375
ahbweevwpv,0.5443466583887736,0.6137328743934631,0.44819873571395874
ahdbuwqxit,0.49745354453722634,0.5347970724105835,0.468479186296463
ahfazfbntc,0.5638022641340892,0.5903363227844238,0.5420989394187927
ahqqqilsxt,0.0,0.0,0.0
aipfdnwpoo,0.5667750746011734,0.6394957900047302,0.5018162131309509
ajqslcypsw,0.5095890194177628,0.5797704458236694,0.45541009306907654
ajwpjhrbcv,0.5383831520875295,0.5502983927726746,0.5249263644218445
aklqzsddfl,0.5524956236282984,0.5740403532981873,0.5229638814926147
aknbdpmgua,0.5724059224128724,0.6157118082046509,0.5178778171539307
aknmpoonls,0.5018527512749036,0.571113109588623,0.45839259028434753
akvmwkdyuv,0.47566023270289104,0.5136969685554504,0.4504198729991913
akxoopqjqz,0.5279641495301173,0.5801275372505188,0.46368497610092163
akzbnazxtz,0.4924836675326029,0.5329806208610535,0.43754738569259644
aladcziidp,0.5460813373327256,0.5735015869140625,0.5142906308174133
