ID,AVG,MAX,MIN
aagfhgtpmv,0.3306652228037516,0.4236704111099243,0.2703366279602051
aapnvogymq,0.38936111629009246,0.43018901348114014,0.35406598448753357
abarnvbtwb,0.40626758833726245,0.43306154012680054,0.3623410761356354
abofeumbvv,0.3460962245861689,0.37526533007621765,0.3162482678890228
abqwwspghj,0.38585151731967926,0.395877480506897,0.37582555413246155
acifjvzvpm,0.3467503716548284,0.375392347574234,0.3225109279155731
acqfdwsrhi,0.3670504818360011,0.391825407743454,0.3446802496910095
acxnxvbsxk,0.3468150558571021,0.3833310306072235,0.3082677125930786
acxwigylke,0.4612621575593948,0.508330225944519,0.42103198170661926
aczrgyricp,0.43973827064037324,0.5061182975769043,0.3989514708518982
adhsbajydo,0.35375394523143766,0.3850647509098053,0.324171245098114
adohikbdaz,0.2467943290869395,0.3516620099544525,0.1801619827747345
adylbeequz,0.3116716265678406,0.33177271485328674,0.3000723123550415
aelfnikyqj,0.30155409475167594,0.3162009119987488,0.28679537773132324
aelzhcnwgf,0.40355117321014405,0.44899457693099976,0.3685416281223297
aettqgevhz,0.4402282625436783,0.47497594356536865,0.4031778872013092
aevrfsexku,0.3432433525721232,0.3741573393344879,0.30133262276649475
afoovlsmtx,0.31264548301696776,0.37945643067359924,0.27484801411628723
agdkmztvby,0.3401596834262212,0.37311840057373047,0.3008836805820465
agqphdxmwt,0.4489406174735019,0.483228474855423,0.39739081263542175
agrmhtjdlk,0.3690748622020086,0.4282471835613251,0.2918020486831665
ahbweevwpv,0.31617349982261655,0.41479700803756714,0.24294918775558472
ahdbuwqxit,0.41954922676086426,0.4869992136955261,0.3703378736972809
ahfazfbntc,0.4481875588496526,0.47540631890296936,0.4192311465740204
ahqqqilsxt,0.3060400327046712,0.33992645144462585,0.272034615278244
aipfdnwpoo,0.3717821816603343,0.4827115833759308,0.2710912525653839
ajqslcypsw,0.4626483211914698,0.5228753089904785,0.405613511800766
ajwpjhrbcv,0.3452352285385132,0.35842055082321167,0.33144283294677734
aklqzsddfl,0.3790179799000422,0.40058597922325134,0.3334033191204071
aknbdpmgua,0.357432026664416,0.43984562158584595,0.31825172901153564
aknmpoonls,0.3557650496562322,0.4072279632091522,0.2855740189552307
akvmwkdyuv,0.3553353150685628,0.37292060256004333,0.33705228567123413
akxoopqjqz,0.3336510886748632,0.39316385984420776,0.2733820080757141
akzbnazxtz,0.3424557030200958,0.3772319257259369,0.3195309340953827
aladcziidp,0.45835276345411935,0.5189016461372375,0.41930079460144043
alaijyygdv,0.4494355976581573,0.4759477376937866,0.3889251947402954
alninxcyhg,0.29405365586280824,0.3659382462501526,0.2536982297897339
altziddtxi,0.33341940144697824,0.40315109491348267,0.26547563076019287
alvgwypubw,0.3507045497496923,0.397943913936615,0.27450624108314514
amaivqofda,0.3636728435754776,0.3887418508529663,0.33474087715148926
amowujxmzc,0.3961372941732407,0.42458879947662354,0.3587294816970825
andaxzscny,0.3588234176238378,0.39760079979896545,0.3257926106452942
aneclqfpbt,0.42806390126546223,0.503930926322937,0.3917525112628937
anpuvshzoo,0.4466786424318949,0.5439469218254089,0.37159469723701477
aorjvbyxhw,0.3026120205720266,0.34052637219429016,0.25540342926979065
apatcsqejh,0.2885649224122365,0.31919974088668823,0.2583945393562317
apgjqzkoma,0.4289315054814021,0.4664606750011444,0.4021846354007721
apogckdfrz,0.3330877254406611,0.37019866704940796,0.30451422929763794
aqpnvjhuzw,0.40374284187952675,0.450777530670166,0.345903605222702
arkroixhey,0.34589045544465385,0.40875735878944397,0.28533029556274414
arlmiizoob,0.3314980536699295,0.38978007435798645,0.27686718106269836
arrhsnjqku,0.47990612387657167,0.5029645562171936,0.4485670030117035
asaxgevnnp,0.46757540504137673,0.5167561769485474,0.43235909938812256
asdpeebotb,0.398659862279892,0.4342471659183502,0.3606247305870056
aslsvlvpth,0.46110044916470844,0.4785059988498688,0.4382364749908447
asmpfjfzif,0.34376557568709054,0.38202109932899475,0.2991792857646942
asvcrfdpnq,0.35308832159409154,0.45505034923553467,0.2853601276874542
atkdltyyen,0.5067172666390737,0.5483233332633972,0.4662278890609741
atvmxvwyns,0.35030450820922854,0.395205020904541,0.31282588839530945
atxvxouljq,0.302755465110143,0.31723734736442566,0.2919507920742035
atyntldecu,0.3429383456707001,0.4038146138191223,0.2955322861671448
atzdznmder,0.4302147577206294,0.522649347782135,0.34271275997161865
aufmsmnoye,0.34667492310206094,0.4078301191329956,0.3176552653312683
augtsuxpzc,0.3265055408080419,0.4080185294151306,0.2737697958946228
avfitoutyn,0.33427714705467226,0.404201477766037,0.29831594228744507
avgiuextiz,0.4014868060747782,0.4426836669445038,0.3564876616001129
avibnnhwhp,0.3856777648131053,0.4252856373786926,0.3665594160556793
avmjormvsx,0.3199625114599864,0.33498701453208923,0.2954566478729248
avnqydkqjj,0.40123513440291086,0.42213761806488037,0.37405329942703247
avssvvsdhz,0.353482190767924,0.4039696455001831,0.31215208768844604
avtycwsgyb,0.3961001217365265,0.431362509727478,0.36197635531425476
avvdgsennp,0.3626311818758647,0.38467374444007874,0.33123350143432617
avywawptfc,0.3302872616511125,0.36529219150543213,0.2734176218509674
awhmfnnjih,0.34968856871128084,0.4278295338153839,0.28418466448783875
awnwkrqibf,0.3470204969247182,0.3931043744087219,0.3193710744380951
awukslzjra,0.41191220842301846,0.4452800452709198,0.3802032470703125
axczxisdtb,0.33499525487422943,0.40127483010292053,0.2845425307750702
axntxmycwd,0.33286639451980593,0.4322333037853241,0.27330854535102844
axoygtekut,0.45275899370511374,0.4882464110851288,0.392076313495636
axwgcsyphv,0.35523971219857536,0.3862490952014923,0.3292141854763031
axwovszumc,0.40992490748564403,0.4965231120586395,0.35492369532585144
aybgughjxh,0.3039108415444692,0.3296537399291992,0.2640732228755951
aybumesmpk,0.461363677183787,0.5019329190254211,0.4244493246078491
